year,state_name,median_income,state
1997,Alabama,30790,01
1997,Alaska,43657,02
1997,Arizona,34751,04
1997,Arkansas,27875,05
1997,California,39595,06
1997,Colorado,40853,08
1997,Connecticut,46648,09
1997,Delaware,41315,10
1997,District of Columbia,34980,11
1997,Florida,32877,12
1997,Georgia,36372,13
1997,Hawaii,43627,15
1997,Idaho,33612,16
1997,Illinois,41179,17
1997,Indiana,37909,18
1997,Iowa,35427,19
1997,Kansas,36488,20
1997,Kentucky,31730,21
1997,Louisiana,30466,22
1997,Maine,33140,23
1997,Maryland,45289,24
1997,Massachusetts,43015,25
1997,Michigan,38883,26
1997,Minnesota,41591,27
1997,Mississippi,28527,28
1997,Missouri,34502,29
1997,Montana,29672,30
1997,Nebraska,35337,31
1997,Nevada,39280,32
1997,New Hampshire,42023,33
1997,New Jersey,47903,34
1997,New Mexico,30836,35
1997,New York,36369,36
1997,North Carolina,35320,37
1997,North Dakota,31764,38
1997,Ohio,36029,39
1997,Oklahoma,30002,40
1997,Oregon,37284,41
1997,Pennsylvania,37267,42
1997,Rhode Island,36699,44
1997,South Carolina,33325,45
1997,South Dakota,31354,46
1997,Tennessee,32047,47
1997,Texas,34478,48
1997,Utah,38884,49
1997,Vermont,35210,50
1997,Virginia,40209,51
1997,Washington,41715,53
1997,West Virginia,27432,54
1997,Wisconsin,39800,55
1997,Wyoming,33197,56
1998,Alabama,33204,01
1998,Alaska,47177,02
1998,Arizona,37281,04
1998,Arkansas,29212,05
1998,California,41003,06
1998,Colorado,43402,08
1998,Connecticut,49846,09
1998,Delaware,42662,10
1998,District of Columbia,36442,11
1998,Florida,34757,12
1998,Georgia,37826,13
1998,Hawaii,41627,15
1998,Idaho,35863,16
1998,Illinois,43141,17
1998,Indiana,39719,18
1998,Iowa,38159,19
1998,Kansas,38553,20
1998,Kentucky,33955,21
1998,Louisiana,30894,22
1998,Maine,35560,23
1998,Maryland,47492,24
1998,Massachusetts,44934,25
1998,Michigan,41963,26
1998,Minnesota,45311,27
1998,Mississippi,28925,28
1998,Missouri,37186,29
1998,Montana,31271,30
1998,Nebraska,37233,31
1998,Nevada,39867,32
1998,New Hampshire,45401,33
1998,New Jersey,49615,34
1998,New Mexico,31445,35
1998,New York,38290,36
1998,North Carolina,35982,37
1998,North Dakota,32430,38
1998,Ohio,38726,39
1998,Oklahoma,32373,40
1998,Oregon,38773,41
1998,Pennsylvania,39116,42
1998,Rhode Island,39907,44
1998,South Carolina,33465,45
1998,South Dakota,33267,46
1998,Tennessee,34188,47
1998,Texas,35449,48
1998,Utah,41380,49
1998,Vermont,37947,50
1998,Virginia,42622,51
1998,Washington,44307,53
1998,West Virginia,28460,54
1998,Wisconsin,42169,55
1998,Wyoming,35868,56
1999,Alabama,33840,01
1999,Alaska,49133,02
1999,Arizona,38642,04
1999,Arkansas,31217,05
1999,California,43924,06
1999,Colorado,45557,08
