observation_date,CXUFOODHOMELB0101M
1984-01-01,1970
1985-01-01,2037
1986-01-01,1993
1987-01-01,2099
1988-01-01,2136
1989-01-01,2390
1990-01-01,2485
1991-01-01,2651
1992-01-01,2643
1993-01-01,2735
1994-01-01,2712
1995-01-01,2803
1996-01-01,2876
1997-01-01,2880
1998-01-01,2780
1999-01-01,2915
2000-01-01,3021
2001-01-01,3086
2002-01-01,3099
2003-01-01,3129
2004-01-01,3347
2005-01-01,3297
2006-01-01,3417
2007-01-01,3465
2008-01-01,3744
2009-01-01,3753
2010-01-01,3624
2011-01-01,3838
2012-01-01,3921
2013-01-01,3977
2014-01-01,3971
2015-01-01,4015
2016-01-01,4049
2017-01-01,4363
2018-01-01,4464
2019-01-01,4643
2020-01-01,4935
2021-01-01,5259
2022-01-01,5703
2023-01-01,6053
2024-01-01,6224
