observation_date,CXUINCBEFTXLB0104M
1984-01-01,18340
1985-01-01,19397
1986-01-01,19534
1987-01-01,20943
1988-01-01,22570
1989-01-01,23856
1990-01-01,24500
1991-01-01,26073
1992-01-01,25108
1993-01-01,26037
1994-01-01,27305
1995-01-01,28242
1996-01-01,28321
1997-01-01,30285
1998-01-01,30981
1999-01-01,31876
2000-01-01,32910
2001-01-01,35536
2002-01-01,36989
2003-01-01,37542
2004-01-01,41614
2005-01-01,42622
2006-01-01,44933
2007-01-01,46213
2008-01-01,47196
2009-01-01,46012
2010-01-01,45552
2011-01-01,46190
2012-01-01,47265
2013-01-01,45826
2014-01-01,47056
2015-01-01,49606
2016-01-01,50563
2017-01-01,52431
2018-01-01,54900
2019-01-01,56773
2020-01-01,59422
2021-01-01,61214
2022-01-01,65659
2023-01-01,71057
2024-01-01,74474
