observation_date,AKPCPI
1950-01-01,2899
1951-01-01,3401
1952-01-01,3255
1953-01-01,3169
1954-01-01,2927
1955-01-01,2886
1956-01-01,3022
1957-01-01,2897
1958-01-01,3001
1959-01-01,3126
1960-01-01,3521
1961-01-01,3347
1962-01-01,3378
1963-01-01,3518
1964-01-01,3835
1965-01-01,4016
1966-01-01,4276
1967-01-01,4545
1968-01-01,4790
1969-01-01,5322
1970-01-01,5911
1971-01-01,6269
1972-01-01,6636
1973-01-01,7525
1974-01-01,8827
1975-01-01,11205
1976-01-01,12447
1977-01-01,12789
1978-01-01,13018
1979-01-01,13744
1980-01-01,15507
1981-01-01,17086
1982-01-01,19417
1983-01-01,19479
1984-01-01,19690
1985-01-01,20586
1986-01-01,20322
1987-01-01,19642
1988-01-01,20406
1989-01-01,22117
1990-01-01,23207
1991-01-01,23518
1992-01-01,24227
1993-01-01,25020
1994-01-01,25691
1995-01-01,26369
1996-01-01,26910
1997-01-01,28219
1998-01-01,29287
1999-01-01,29941
2000-01-01,31996
2001-01-01,33591
2002-01-01,34766
2003-01-01,36045
2004-01-01,37054
2005-01-01,39013
2006-01-01,41013
2007-01-01,43747
2008-01-01,47800
2009-01-01,47211
2010-01-01,49543
2011-01-01,52415
2012-01-01,53340
2013-01-01,52252
2014-01-01,55098
2015-01-01,56714
2016-01-01,55536
2017-01-01,56500
2018-01-01,58997
2019-01-01,60504
2020-01-01,61853
2021-01-01,65608
2022-01-01,68905
2023-01-01,71309
2024-01-01,75247
