observation_date,ALPCPI
1929-01-01,319
1930-01-01,263
1931-01-01,220
1932-01-01,159
1933-01-01,164
1934-01-01,207
1935-01-01,216
1936-01-01,249
1937-01-01,266
1938-01-01,242
1939-01-01,251
1940-01-01,281
1941-01-01,379
1942-01-01,532
1943-01-01,676
1944-01-01,753
1945-01-01,799
1946-01-01,763
1947-01-01,809
1948-01-01,881
1949-01-01,838
1950-01-01,919
1951-01-01,1071
1952-01-01,1137
1953-01-01,1193
1954-01-01,1167
1955-01-01,1305
1956-01-01,1390
1957-01-01,1460
1958-01-01,1496
1959-01-01,1553
1960-01-01,1585
1961-01-01,1616
1962-01-01,1695
1963-01-01,1782
1964-01-01,1914
1965-01-01,2048
1966-01-01,2184
1967-01-01,2311
1968-01-01,2536
1969-01-01,2831
1970-01-01,3081
1971-01-01,3345
1972-01-01,3672
1973-01-01,4088
1974-01-01,4477
1975-01-01,4918
1976-01-01,5438
1977-01-01,5920
1978-01-01,6609
1979-01-01,7275
1980-01-01,7959
1981-01-01,8793
1982-01-01,9269
1983-01-01,9908
1984-01-01,10840
1985-01-01,11601
1986-01-01,12220
1987-01-01,12830
1988-01-01,13800
1989-01-01,14975
1990-01-01,15860
1991-01-01,16585
1992-01-01,17574
1993-01-01,18116
1994-01-01,18963
1995-01-01,19874
1996-01-01,20599
1997-01-01,21487
1998-01-01,22651
1999-01-01,23296
2000-01-01,24258
2001-01-01,25046
2002-01-01,25671
2003-01-01,26700
2004-01-01,28385
2005-01-01,29780
2006-01-01,31264
2007-01-01,32516
2008-01-01,33441
2009-01-01,32717
2010-01-01,33848
2011-01-01,34884
2012-01-01,35559
2013-01-01,35706
2014-01-01,36722
2015-01-01,38189
2016-01-01,38704
2017-01-01,39968
2018-01-01,41324
2019-01-01,42998
2020-01-01,45843
2021-01-01,50495
2022-01-01,51660
2023-01-01,54112
2024-01-01,56684
