observation_date,ARPCPI
1929-01-01,303
1930-01-01,224
1931-01-01,207
1932-01-01,152
1933-01-01,153
1934-01-01,182
1935-01-01,204
1936-01-01,243
1937-01-01,253
1938-01-01,228
1939-01-01,246
1940-01-01,257
1941-01-01,344
1942-01-01,491
1943-01-01,572
1944-01-01,698
1945-01-01,753
1946-01-01,760
1947-01-01,740
1948-01-01,881
1949-01-01,818
1950-01-01,849
1951-01-01,970
1952-01-01,1043
1953-01-01,1084
1954-01-01,1100
1955-01-01,1202
1956-01-01,1262
1957-01-01,1280
1958-01-01,1339
1959-01-01,1436
1960-01-01,1424
1961-01-01,1535
1962-01-01,1600
1963-01-01,1676
1964-01-01,1799
1965-01-01,1902
1966-01-01,2109
1967-01-01,2238
1968-01-01,2419
1969-01-01,2681
1970-01-01,2915
1971-01-01,3176
1972-01-01,3504
1973-01-01,4069
1974-01-01,4453
1975-01-01,4769
1976-01-01,5247
1977-01-01,5736
1978-01-01,6546
1979-01-01,7090
1980-01-01,7601
1981-01-01,8592
1982-01-01,9021
1983-01-01,9518
1984-01-01,10538
1985-01-01,11165
1986-01-01,11708
1987-01-01,12106
1988-01-01,13015
1989-01-01,13934
1990-01-01,14621
1991-01-01,15313
1992-01-01,16431
1993-01-01,16945
1994-01-01,17743
1995-01-01,18582
1996-01-01,19427
1997-01-01,20176
1998-01-01,21203
1999-01-01,21842
2000-01-01,22731
2001-01-01,23841
2002-01-01,24280
2003-01-01,25564
2004-01-01,27024
2005-01-01,28043
2006-01-01,29376
2007-01-01,31036
2008-01-01,32157
2009-01-01,31411
2010-01-01,32218
2011-01-01,34181
2012-01-01,36289
2013-01-01,36286
2014-01-01,38220
2015-01-01,39267
2016-01-01,40181
2017-01-01,41403
2018-01-01,43031
2019-01-01,43737
2020-01-01,47100
2021-01-01,52872
2022-01-01,55299
2023-01-01,57603
2024-01-01,59663
