observation_date,AZPCPI
1929-01-01,598
1930-01-01,518
1931-01-01,430
1932-01-01,322
1933-01-01,309
1934-01-01,362
1935-01-01,416
1936-01-01,462
1937-01-01,506
1938-01-01,479
1939-01-01,491
1940-01-01,506
1941-01-01,649
1942-01-01,953
1943-01-01,1045
1944-01-01,1076
1945-01-01,1150
1946-01-01,1131
1947-01-01,1199
1948-01-01,1354
1949-01-01,1343
1950-01-01,1408
1951-01-01,1677
1952-01-01,1779
1953-01-01,1778
1954-01-01,1766
1955-01-01,1833
1956-01-01,1937
1957-01-01,1984
1958-01-01,1988
1959-01-01,2076
1960-01-01,2162
1961-01-01,2210
1962-01-01,2277
1963-01-01,2315
1964-01-01,2427
1965-01-01,2528
1966-01-01,2701
1967-01-01,2879
1968-01-01,3233
1969-01-01,3643
1970-01-01,4020
1971-01-01,4354
1972-01-01,4711
1973-01-01,5145
1974-01-01,5546
1975-01-01,5825
1976-01-01,6309
1977-01-01,6858
1978-01-01,7768
1979-01-01,8712
1980-01-01,9676
1981-01-01,10755
1982-01-01,11129
1983-01-01,11942
1984-01-01,13038
1985-01-01,13987
1986-01-01,14720
1987-01-01,15208
1988-01-01,16025
1989-01-01,16779
1990-01-01,17317
1991-01-01,17745
1992-01-01,18287
1993-01-01,18924
1994-01-01,19836
1995-01-01,20712
1996-01-01,21681
1997-01-01,22757
1998-01-01,24130
1999-01-01,24866
2000-01-01,26271
2001-01-01,26946
2002-01-01,27325
2003-01-01,28384
2004-01-01,30154
2005-01-01,32150
2006-01-01,34460
2007-01-01,35602
2008-01-01,35586
2009-01-01,33467
2010-01-01,33778
2011-01-01,35263
2012-01-01,36364
2013-01-01,36918
2014-01-01,38268
2015-01-01,39888
2016-01-01,41173
2017-01-01,43255
2018-01-01,45297
2019-01-01,47718
2020-01-01,52038
2021-01-01,56963
2022-01-01,58873
2023-01-01,62194
2024-01-01,64456
