observation_date,CAPCPI
1929-01-01,994
1930-01-01,889
1931-01-01,753
1932-01-01,584
1933-01-01,550
1934-01-01,605
1935-01-01,665
1936-01-01,776
1937-01-01,801
1938-01-01,779
1939-01-01,790
1940-01-01,856
1941-01-01,1034
1942-01-01,1324
1943-01-01,1589
1944-01-01,1616
1945-01-01,1620
1946-01-01,1706
1947-01-01,1724
1948-01-01,1816
1949-01-01,1800
1950-01-01,1947
1951-01-01,2166
1952-01-01,2303
1953-01-01,2345
1954-01-01,2323
1955-01-01,2478
1956-01-01,2597
1957-01-01,2683
1958-01-01,2705
1959-01-01,2847
1960-01-01,2931
1961-01-01,2986
1962-01-01,3110
1963-01-01,3211
1964-01-01,3383
1965-01-01,3531
1966-01-01,3784
1967-01-01,4001
1968-01-01,4334
1969-01-01,4676
1970-01-01,4965
1971-01-01,5209
1972-01-01,5652
1973-01-01,6123
1974-01-01,6731
1975-01-01,7320
1976-01-01,7975
1977-01-01,8681
1978-01-01,9661
1979-01-01,10758
1980-01-01,11950
1981-01-01,13150
1982-01-01,13785
1983-01-01,14587
1984-01-01,15877
1985-01-01,16788
1986-01-01,17581
1987-01-01,18418
1988-01-01,19590
1989-01-01,20542
1990-01-01,21483
1991-01-01,21877
1992-01-01,22664
1993-01-01,22990
1994-01-01,23556
1995-01-01,24596
1996-01-01,25864
1997-01-01,26979
1998-01-01,28901
1999-01-01,30529
2000-01-01,33175
2001-01-01,33915
2002-01-01,34047
2003-01-01,35191
2004-01-01,36969
2005-01-01,38737
2006-01-01,41454
2007-01-01,43070
2008-01-01,43391
2009-01-01,41660
2010-01-01,43137
2011-01-01,45508
2012-01-01,47793
2013-01-01,48074
2014-01-01,50617
2015-01-01,53816
2016-01-01,55862
2017-01-01,58214
2018-01-01,60984
2019-01-01,64219
2020-01-01,70065
2021-01-01,76887
2022-01-01,76741
2023-01-01,80771
2024-01-01,85518
