observation_date,COPCPI
1929-01-01,631
1930-01-01,574
1931-01-01,472
1932-01-01,357
1933-01-01,353
1934-01-01,372
1935-01-01,445
1936-01-01,542
1937-01-01,534
1938-01-01,508
1939-01-01,519
1940-01-01,548
1941-01-01,655
1942-01-01,917
1943-01-01,1067
1944-01-01,1087
1945-01-01,1213
1946-01-01,1231
1947-01-01,1372
1948-01-01,1489
1949-01-01,1478
1950-01-01,1584
1951-01-01,1881
1952-01-01,1973
1953-01-01,1905
1954-01-01,1881
1955-01-01,1979
1956-01-01,2078
1957-01-01,2223
1958-01-01,2272
1959-01-01,2379
1960-01-01,2461
1961-01-01,2540
1962-01-01,2602
1963-01-01,2673
1964-01-01,2779
1965-01-01,2942
1966-01-01,3127
1967-01-01,3294
1968-01-01,3539
1969-01-01,3896
1970-01-01,4290
1971-01-01,4671
1972-01-01,5064
1973-01-01,5579
1974-01-01,6142
1975-01-01,6670
1976-01-01,7211
1977-01-01,7854
1978-01-01,8824
1979-01-01,9818
1980-01-01,11019
1981-01-01,12372
1982-01-01,13218
1983-01-01,13943
1984-01-01,15009
1985-01-01,15720
1986-01-01,16185
1987-01-01,16617
1988-01-01,17620
1989-01-01,18903
1990-01-01,19843
1991-01-01,20558
1992-01-01,21600
1993-01-01,22608
1994-01-01,23586
1995-01-01,24948
1996-01-01,26269
1997-01-01,27554
1998-01-01,29776
1999-01-01,31167
2000-01-01,33872
2001-01-01,34812
2002-01-01,34405
2003-01-01,34757
2004-01-01,35753
2005-01-01,37619
2006-01-01,39869
2007-01-01,41760
2008-01-01,42961
2009-01-01,40258
2010-01-01,40827
2011-01-01,43735
2012-01-01,45495
2013-01-01,47088
2014-01-01,50251
2015-01-01,51401
2016-01-01,51312
2017-01-01,54176
2018-01-01,57798
2019-01-01,61278
2020-01-01,64671
2021-01-01,71676
2022-01-01,76544
2023-01-01,79746
2024-01-01,82705
