observation_date,CTPCPI
1929-01-01,1029
1930-01-01,927
1931-01-01,807
1932-01-01,627
1933-01-01,591
1934-01-01,661
1935-01-01,715
1936-01-01,815
1937-01-01,870
1938-01-01,779
1939-01-01,847
1940-01-01,931
1941-01-01,1159
1942-01-01,1440
1943-01-01,1621
1944-01-01,1622
1945-01-01,1592
1946-01-01,1600
1947-01-01,1721
1948-01-01,1742
1949-01-01,1682
1950-01-01,1918
1951-01-01,2191
1952-01-01,2336
1953-01-01,2431
1954-01-01,2389
1955-01-01,2516
1956-01-01,2730
1957-01-01,2859
1958-01-01,2673
1959-01-01,2769
1960-01-01,2860
1961-01-01,2978
1962-01-01,3108
1963-01-01,3187
1964-01-01,3336
1965-01-01,3514
1966-01-01,3797
1967-01-01,4118
1968-01-01,4328
1969-01-01,4898
1970-01-01,5158
1971-01-01,5394
1972-01-01,5800
1973-01-01,6319
1974-01-01,6879
1975-01-01,7367
1976-01-01,7951
1977-01-01,8752
1978-01-01,9720
1979-01-01,10909
1980-01-01,12371
1981-01-01,13800
1982-01-01,14852
1983-01-01,15797
1984-01-01,17536
1985-01-01,18723
1986-01-01,20007
1987-01-01,21590
1988-01-01,23717
1989-01-01,25633
1990-01-01,26392
1991-01-01,26615
1992-01-01,28540
1993-01-01,29390
1994-01-01,30153
1995-01-01,31733
1996-01-01,33122
1997-01-01,35017
1998-01-01,37638
1999-01-01,39479
2000-01-01,42857
2001-01-01,45032
2002-01-01,44656
2003-01-01,44898
2004-01-01,47098
2005-01-01,49424
2006-01-01,53224
2007-01-01,57112
2008-01-01,60543
2009-01-01,59586
2010-01-01,61392
2011-01-01,62964
2012-01-01,63556
2013-01-01,62000
2014-01-01,64484
2015-01-01,66222
2016-01-01,67551
2017-01-01,69147
2018-01-01,72159
2019-01-01,74176
2020-01-01,76779
2021-01-01,81692
2022-01-01,84777
2023-01-01,89307
2024-01-01,93235
