observation_date,DEPCPI
1929-01-01,1031
1930-01-01,858
1931-01-01,776
1932-01-01,591
1933-01-01,566
1934-01-01,647
1935-01-01,706
1936-01-01,872
1937-01-01,955
1938-01-01,801
1939-01-01,907
1940-01-01,1038
1941-01-01,1179
1942-01-01,1312
1943-01-01,1491
1944-01-01,1529
1945-01-01,1552
1946-01-01,1579
1947-01-01,1677
1948-01-01,1679
1949-01-01,1804
1950-01-01,2082
1951-01-01,2168
1952-01-01,2258
1953-01-01,2350
1954-01-01,2329
1955-01-01,2542
1956-01-01,2797
1957-01-01,2697
1958-01-01,2728
1959-01-01,2793
1960-01-01,2873
1961-01-01,2888
1962-01-01,3014
1963-01-01,3140
1964-01-01,3302
1965-01-01,3561
1966-01-01,3687
1967-01-01,3868
1968-01-01,4148
1969-01-01,4521
1970-01-01,4724
1971-01-01,5032
1972-01-01,5446
1973-01-01,5979
1974-01-01,6426
1975-01-01,6844
1976-01-01,7430
1977-01-01,7971
1978-01-01,8696
1979-01-01,9549
1980-01-01,10815
1981-01-01,11886
1982-01-01,12720
1983-01-01,13431
1984-01-01,14643
1985-01-01,15727
1986-01-01,16492
1987-01-01,17490
1988-01-01,18912
1989-01-01,20692
1990-01-01,21462
1991-01-01,22276
1992-01-01,22808
1993-01-01,23300
1994-01-01,23912
1995-01-01,24882
1996-01-01,26190
1997-01-01,27022
1998-01-01,29444
1999-01-01,31119
2000-01-01,33810
2001-01-01,36917
2002-01-01,37660
2003-01-01,37985
2004-01-01,38843
2005-01-01,39133
2006-01-01,40736
2007-01-01,41539
2008-01-01,41254
2009-01-01,41056
2010-01-01,41100
2011-01-01,43779
2012-01-01,43771
2013-01-01,43943
2014-01-01,45359
2015-01-01,47238
2016-01-01,48186
2017-01-01,49997
2018-01-01,52670
2019-01-01,53778
2020-01-01,55497
2021-01-01,59619
2022-01-01,63890
2023-01-01,66557
2024-01-01,69282
