observation_date,HIPCPI
1950-01-01,1580
1951-01-01,1839
1952-01-01,2056
1953-01-01,2114
1954-01-01,2110
1955-01-01,2105
1956-01-01,2130
1957-01-01,2161
1958-01-01,2121
1959-01-01,2290
1960-01-01,2516
1961-01-01,2661
1962-01-01,2750
1963-01-01,2949
1964-01-01,3125
1965-01-01,3412
1966-01-01,3674
1967-01-01,3915
1968-01-01,4338
1969-01-01,4903
1970-01-01,5538
1971-01-01,5791
1972-01-01,6170
1973-01-01,6643
1974-01-01,7412
1975-01-01,7907
1976-01-01,8367
1977-01-01,8828
1978-01-01,9640
1979-01-01,10572
1980-01-01,11872
1981-01-01,12705
1982-01-01,13243
1983-01-01,14265
1984-01-01,15038
1985-01-01,15819
1986-01-01,16593
1987-01-01,17380
1988-01-01,18952
1989-01-01,20880
1990-01-01,22431
1991-01-01,23272
1992-01-01,24530
1993-01-01,25115
1994-01-01,25376
1995-01-01,25756
1996-01-01,25620
1997-01-01,26192
1998-01-01,26625
1999-01-01,27618
2000-01-01,29174
2001-01-01,30178
2002-01-01,31353
2003-01-01,32557
2004-01-01,34336
2005-01-01,36278
2006-01-01,38315
2007-01-01,40301
2008-01-01,41887
2009-01-01,41144
2010-01-01,41498
2011-01-01,42758
2012-01-01,43523
2013-01-01,43548
2014-01-01,45445
2015-01-01,47150
2016-01-01,48561
2017-01-01,50506
2018-01-01,51554
2019-01-01,53940
2020-01-01,56995
2021-01-01,61051
2022-01-01,62522
2023-01-01,65888
2024-01-01,69520
