observation_date,IAPCPI
1929-01-01,571
1930-01-01,501
1931-01-01,396
1932-01-01,293
1933-01-01,252
1934-01-01,271
1935-01-01,418
1936-01-01,391
1937-01-01,513
1938-01-01,451
1939-01-01,468
1940-01-01,494
1941-01-01,603
1942-01-01,829
1943-01-01,1024
1944-01-01,1004
1945-01-01,1096
1946-01-01,1238
1947-01-01,1211
1948-01-01,1621
1949-01-01,1362
1950-01-01,1539
1951-01-01,1647
1952-01-01,1743
1953-01-01,1676
1954-01-01,1815
1955-01-01,1696
1956-01-01,1784
1957-01-01,1969
1958-01-01,2017
1959-01-01,2053
1960-01-01,2085
1961-01-01,2207
1962-01-01,2307
1963-01-01,2455
1964-01-01,2571
1965-01-01,2851
1966-01-01,3082
1967-01-01,3105
1968-01-01,3335
1969-01-01,3698
1970-01-01,3923
1971-01-01,4082
1972-01-01,4559
1973-01-01,5466
1974-01-01,5657
1975-01-01,6293
1976-01-01,6640
1977-01-01,7300
1978-01-01,8406
1979-01-01,9017
1980-01-01,9612
1981-01-01,10895
1982-01-01,11268
1983-01-01,11557
1984-01-01,12914
1985-01-01,13504
1986-01-01,14139
1987-01-01,14899
1988-01-01,15434
1989-01-01,16785
1990-01-01,17627
1991-01-01,17948
1992-01-01,19076
1993-01-01,19036
1994-01-01,20657
1995-01-01,21363
1996-01-01,23168
1997-01-01,24180
1998-01-01,25198
1999-01-01,25705
2000-01-01,27341
2001-01-01,28145
2002-01-01,28804
2003-01-01,29344
2004-01-01,31615
2005-01-01,32411
2006-01-01,34197
2007-01-01,36366
2008-01-01,38490
2009-01-01,37246
2010-01-01,38190
2011-01-01,40879
2012-01-01,42539
2013-01-01,43009
2014-01-01,44120
2015-01-01,45442
2016-01-01,45669
2017-01-01,46767
2018-01-01,48773
2019-01-01,49674
2020-01-01,52621
2021-01-01,58195
2022-01-01,61515
2023-01-01,62557
2024-01-01,63573
