observation_date,ILPCPI
1929-01-01,951
1930-01-01,810
1931-01-01,673
1932-01-01,489
1933-01-01,441
1934-01-01,508
1935-01-01,576
1936-01-01,654
1937-01-01,734
1938-01-01,652
1939-01-01,710
1940-01-01,758
1941-01-01,901
1942-01-01,1049
1943-01-01,1278
1944-01-01,1405
1945-01-01,1488
1946-01-01,1550
1947-01-01,1651
1948-01-01,1817
1949-01-01,1690
1950-01-01,1842
1951-01-01,2041
1952-01-01,2106
1953-01-01,2223
1954-01-01,2193
1955-01-01,2288
1956-01-01,2473
1957-01-01,2542
1958-01-01,2511
1959-01-01,2639
1960-01-01,2698
1961-01-01,2792
1962-01-01,2907
1963-01-01,2989
1964-01-01,3142
1965-01-01,3373
1966-01-01,3608
1967-01-01,3801
1968-01-01,4055
1969-01-01,4392
1970-01-01,4632
1971-01-01,4936
1972-01-01,5332
1973-01-01,5947
1974-01-01,6494
1975-01-01,7064
1976-01-01,7644
1977-01-01,8369
1978-01-01,9213
1979-01-01,10118
1980-01-01,10954
1981-01-01,12127
1982-01-01,12860
1983-01-01,13417
1984-01-01,14765
1985-01-01,15537
1986-01-01,16362
1987-01-01,17242
1988-01-01,18655
1989-01-01,19869
1990-01-01,21024
1991-01-01,21276
1992-01-01,22714
1993-01-01,23299
1994-01-01,24327
1995-01-01,25602
1996-01-01,27020
1997-01-01,28360
1998-01-01,29873
1999-01-01,30958
2000-01-01,33072
2001-01-01,34206
2002-01-01,34520
2003-01-01,35081
2004-01-01,36366
2005-01-01,37720
2006-01-01,40021
2007-01-01,42148
2008-01-01,43238
2009-01-01,41088
2010-01-01,42107
2011-01-01,44075
2012-01-01,45934
2013-01-01,46735
2014-01-01,48536
2015-01-01,50688
2016-01-01,51347
2017-01-01,53056
2018-01-01,56077
2019-01-01,57738
2020-01-01,61542
2021-01-01,66612
2022-01-01,68352
2023-01-01,71716
2024-01-01,74197
