observation_date,INPCPI
1929-01-01,605
1930-01-01,512
1931-01-01,435
1932-01-01,308
1933-01-01,294
1934-01-01,357
1935-01-01,419
1936-01-01,481
1937-01-01,546
1938-01-01,472
1939-01-01,518
1940-01-01,552
1941-01-01,726
1942-01-01,919
1943-01-01,1150
1944-01-01,1209
1945-01-01,1265
1946-01-01,1211
1947-01-01,1316
1948-01-01,1448
1949-01-01,1357
1950-01-01,1525
1951-01-01,1719
1952-01-01,1786
1953-01-01,1952
1954-01-01,1810
1955-01-01,1908
1956-01-01,2011
1957-01-01,2046
1958-01-01,2023
1959-01-01,2141
1960-01-01,2223
1961-01-01,2264
1962-01-01,2421
1963-01-01,2509
1964-01-01,2639
1965-01-01,2877
1966-01-01,3058
1967-01-01,3170
1968-01-01,3419
1969-01-01,3741
1970-01-01,3849
1971-01-01,4151
1972-01-01,4503
1973-01-01,5136
1974-01-01,5472
1975-01-01,5907
1976-01-01,6540
1977-01-01,7197
1978-01-01,7968
1979-01-01,8732
1980-01-01,9368
1981-01-01,10288
1982-01-01,10682
1983-01-01,11246
1984-01-01,12448
1985-01-01,13149
1986-01-01,13862
1987-01-01,14616
1988-01-01,15634
1989-01-01,16924
1990-01-01,17763
1991-01-01,18134
1992-01-01,19396
1993-01-01,20212
1994-01-01,21271
1995-01-01,22014
1996-01-01,23043
1997-01-01,24066
1998-01-01,25758
1999-01-01,26545
2000-01-01,28075
2001-01-01,28596
2002-01-01,28902
2003-01-01,29445
2004-01-01,30657
2005-01-01,31376
2006-01-01,32905
2007-01-01,33845
2008-01-01,35270
2009-01-01,34200
2010-01-01,35590
2011-01-01,37681
2012-01-01,39148
2013-01-01,39435
2014-01-01,40719
2015-01-01,42146
2016-01-01,43143
2017-01-01,44568
2018-01-01,46555
2019-01-01,48270
2020-01-01,51736
2021-01-01,57254
2022-01-01,58867
2023-01-01,61083
2024-01-01,63802
