observation_date,KYPCPI
1929-01-01,388
1930-01-01,322
1931-01-01,287
1932-01-01,209
1933-01-01,204
1934-01-01,232
1935-01-01,264
1936-01-01,293
1937-01-01,339
1938-01-01,296
1939-01-01,305
1940-01-01,322
1941-01-01,401
1942-01-01,551
1943-01-01,717
1944-01-01,778
1945-01-01,815
1946-01-01,835
1947-01-01,870
1948-01-01,1001
1949-01-01,940
1950-01-01,998
1951-01-01,1172
1952-01-01,1256
1953-01-01,1327
1954-01-01,1311
1955-01-01,1368
1956-01-01,1452
1957-01-01,1508
1958-01-01,1561
1959-01-01,1621
1960-01-01,1651
1961-01-01,1750
1962-01-01,1844
1963-01-01,1928
1964-01-01,1990
1965-01-01,2150
1966-01-01,2345
1967-01-01,2518
1968-01-01,2733
1969-01-01,3037
1970-01-01,3261
1971-01-01,3476
1972-01-01,3801
1973-01-01,4227
1974-01-01,4698
1975-01-01,5039
1976-01-01,5536
1977-01-01,6135
1978-01-01,6769
1979-01-01,7535
1980-01-01,8154
1981-01-01,9051
1982-01-01,9607
1983-01-01,9951
1984-01-01,11101
1985-01-01,11584
1986-01-01,11932
1987-01-01,12583
1988-01-01,13733
1989-01-01,14770
1990-01-01,15610
1991-01-01,16359
1992-01-01,17397
1993-01-01,17855
1994-01-01,18584
1995-01-01,19283
1996-01-01,20279
1997-01-01,21369
1998-01-01,22433
1999-01-01,23189
2000-01-01,24815
2001-01-01,25564
2002-01-01,26053
2003-01-01,26661
2004-01-01,28030
2005-01-01,29104
2006-01-01,30476
2007-01-01,31529
2008-01-01,32830
2009-01-01,32198
2010-01-01,33187
2011-01-01,34607
2012-01-01,35630
2013-01-01,35758
2014-01-01,37225
2015-01-01,38766
2016-01-01,39319
2017-01-01,40403
2018-01-01,41658
2019-01-01,43466
2020-01-01,47052
2021-01-01,51769
2022-01-01,52615
2023-01-01,55063
2024-01-01,57526
