observation_date,LAPCPI
1929-01-01,409
1930-01-01,353
1931-01-01,315
1932-01-01,238
1933-01-01,226
1934-01-01,263
1935-01-01,289
1936-01-01,328
1937-01-01,352
1938-01-01,347
1939-01-01,359
1940-01-01,365
1941-01-01,465
1942-01-01,617
1943-01-01,811
1944-01-01,896
1945-01-01,908
1946-01-01,845
1947-01-01,890
1948-01-01,1023
1949-01-01,1082
1950-01-01,1132
1951-01-01,1234
1952-01-01,1309
1953-01-01,1374
1954-01-01,1364
1955-01-01,1419
1956-01-01,1532
1957-01-01,1650
1958-01-01,1669
1959-01-01,1716
1960-01-01,1715
1961-01-01,1770
1962-01-01,1841
1963-01-01,1944
1964-01-01,2036
1965-01-01,2174
1966-01-01,2369
1967-01-01,2576
1968-01-01,2805
1969-01-01,2975
1970-01-01,3195
1971-01-01,3427
1972-01-01,3698
1973-01-01,4098
1974-01-01,4620
1975-01-01,5113
1976-01-01,5672
1977-01-01,6234
1978-01-01,7029
1979-01-01,7846
1980-01-01,8850
1981-01-01,10053
1982-01-01,10649
1983-01-01,11018
1984-01-01,11693
1985-01-01,12161
1986-01-01,12177
1987-01-01,12376
1988-01-01,13250
1989-01-01,14168
1990-01-01,15363
1991-01-01,16091
1992-01-01,17051
1993-01-01,17791
1994-01-01,18816
1995-01-01,19601
1996-01-01,20370
1997-01-01,21307
1998-01-01,22265
1999-01-01,22677
2000-01-01,23907
2001-01-01,25630
2002-01-01,26281
2003-01-01,26987
2004-01-01,27983
2005-01-01,29970
2006-01-01,33627
2007-01-01,36208
2008-01-01,38328
2009-01-01,36803
2010-01-01,38067
2011-01-01,38966
2012-01-01,40662
2013-01-01,40996
2014-01-01,42533
2015-01-01,42484
2016-01-01,42132
2017-01-01,43486
2018-01-01,45465
2019-01-01,47015
2020-01-01,50133
2021-01-01,54948
2022-01-01,55661
2023-01-01,58661
2024-01-01,61332
