observation_date,MAPCPI
1929-01-01,911
1930-01-01,842
1931-01-01,766
1932-01-01,622
1933-01-01,568
1934-01-01,618
1935-01-01,653
1936-01-01,725
1937-01-01,742
1938-01-01,683
1939-01-01,736
1940-01-01,793
1941-01-01,921
1942-01-01,1102
1943-01-01,1296
1944-01-01,1330
1945-01-01,1382
1946-01-01,1422
1947-01-01,1458
1948-01-01,1532
1949-01-01,1498
1950-01-01,1685
1951-01-01,1857
1952-01-01,1944
1953-01-01,1994
1954-01-01,1973
1955-01-01,2116
1956-01-01,2241
1957-01-01,2350
1958-01-01,2362
1959-01-01,2468
1960-01-01,2548
1961-01-01,2647
1962-01-01,2773
1963-01-01,2845
1964-01-01,2980
1965-01-01,3148
1966-01-01,3369
1967-01-01,3622
1968-01-01,3938
1969-01-01,4255
1970-01-01,4552
1971-01-01,4834
1972-01-01,5203
1973-01-01,5632
1974-01-01,6090
1975-01-01,6560
1976-01-01,7078
1977-01-01,7712
1978-01-01,8522
1979-01-01,9482
1980-01-01,10688
1981-01-01,11859
1982-01-01,12996
1983-01-01,14046
1984-01-01,15715
1985-01-01,16881
1986-01-01,18143
1987-01-01,19477
1988-01-01,21343
1989-01-01,22455
1990-01-01,23115
1991-01-01,23510
1992-01-01,24613
1993-01-01,25448
1994-01-01,26579
1995-01-01,27928
1996-01-01,29490
1997-01-01,31026
1998-01-01,32767
1999-01-01,34767
2000-01-01,38381
2001-01-01,39711
2002-01-01,39419
2003-01-01,40158
2004-01-01,42242
2005-01-01,44061
2006-01-01,47311
2007-01-01,49662
2008-01-01,51546
2009-01-01,50751
2010-01-01,52707
2011-01-01,54757
2012-01-01,56259
2013-01-01,56119
2014-01-01,58129
2015-01-01,61536
2016-01-01,63476
2017-01-01,66069
2018-01-01,69191
2019-01-01,72381
2020-01-01,77470
2021-01-01,83703
2022-01-01,85712
2023-01-01,89760
2024-01-01,93927
