observation_date,MDPCPI
1929-01-01,775
1930-01-01,721
1931-01-01,646
1932-01-01,522
1933-01-01,475
1934-01-01,532
1935-01-01,558
1936-01-01,627
1937-01-01,674
1938-01-01,644
1939-01-01,673
1940-01-01,723
1941-01-01,896
1942-01-01,1157
1943-01-01,1325
1944-01-01,1359
1945-01-01,1349
1946-01-01,1352
1947-01-01,1385
1948-01-01,1548
1949-01-01,1541
1950-01-01,1702
1951-01-01,1895
1952-01-01,2039
1953-01-01,2115
1954-01-01,2032
1955-01-01,2141
1956-01-01,2281
1957-01-01,2377
1958-01-01,2337
1959-01-01,2402
1960-01-01,2486
1961-01-01,2593
1962-01-01,2727
1963-01-01,2815
1964-01-01,2974
1965-01-01,3144
1966-01-01,3377
1967-01-01,3615
1968-01-01,3932
1969-01-01,4456
1970-01-01,4867
1971-01-01,5252
1972-01-01,5679
1973-01-01,6221
1974-01-01,6751
1975-01-01,7265
1976-01-01,7887
1977-01-01,8505
1978-01-01,9407
1979-01-01,10311
1980-01-01,11477
1981-01-01,12669
1982-01-01,13670
1983-01-01,14559
1984-01-01,15941
1985-01-01,17100
1986-01-01,18167
1987-01-01,19214
1988-01-01,20757
1989-01-01,22110
1990-01-01,23104
1991-01-01,23627
1992-01-01,24492
1993-01-01,25222
1994-01-01,26140
1995-01-01,27039
1996-01-01,28070
1997-01-01,29363
1998-01-01,31417
1999-01-01,32948
2000-01-01,35480
2001-01-01,37012
2002-01-01,37995
2003-01-01,39295
2004-01-01,41515
2005-01-01,43311
2006-01-01,45293
2007-01-01,47033
2008-01-01,49026
2009-01-01,48448
2010-01-01,49616
2011-01-01,51797
2012-01-01,52481
2013-01-01,51871
2014-01-01,53075
2015-01-01,55032
2016-01-01,56606
2017-01-01,58245
2018-01-01,59915
2019-01-01,61723
2020-01-01,64840
2021-01-01,69032
2022-01-01,71013
2023-01-01,74945
2024-01-01,78538
