observation_date,MEPCPI
1929-01-01,600
1930-01-01,574
1931-01-01,492
1932-01-01,380
1933-01-01,373
1934-01-01,418
1935-01-01,435
1936-01-01,509
1937-01-01,514
1938-01-01,476
1939-01-01,500
1940-01-01,532
1941-01-01,641
1942-01-01,873
1943-01-01,1126
1944-01-01,1123
1945-01-01,1101
1946-01-01,1148
1947-01-01,1182
1948-01-01,1270
1949-01-01,1214
1950-01-01,1226
1951-01-01,1360
1952-01-01,1490
1953-01-01,1505
1954-01-01,1508
1955-01-01,1644
1956-01-01,1733
1957-01-01,1793
1958-01-01,1866
1959-01-01,1924
1960-01-01,2002
1961-01-01,1987
1962-01-01,2067
1963-01-01,2137
1964-01-01,2309
1965-01-01,2482
1966-01-01,2632
1967-01-01,2750
1968-01-01,2958
1969-01-01,3262
1970-01-01,3569
1971-01-01,3764
1972-01-01,4047
1973-01-01,4498
1974-01-01,4933
1975-01-01,5266
1976-01-01,5915
1977-01-01,6340
1978-01-01,6939
1979-01-01,7635
1980-01-01,8568
1981-01-01,9389
1982-01-01,10173
1983-01-01,10893
1984-01-01,11908
1985-01-01,12793
1986-01-01,13766
1987-01-01,14701
1988-01-01,15996
1989-01-01,17201
1990-01-01,17748
1991-01-01,17995
1992-01-01,18809
1993-01-01,19364
1994-01-01,20148
1995-01-01,21009
1996-01-01,22079
1997-01-01,23260
1998-01-01,24830
1999-01-01,25793
2000-01-01,27478
2001-01-01,28821
2002-01-01,29546
2003-01-01,30740
2004-01-01,32096
2005-01-01,32684
2006-01-01,34168
2007-01-01,35402
2008-01-01,36960
2009-01-01,37107
2010-01-01,38018
2011-01-01,39502
2012-01-01,39992
2013-01-01,39950
2014-01-01,41137
2015-01-01,42939
2016-01-01,44234
2017-01-01,45905
2018-01-01,47729
2019-01-01,49983
2020-01-01,54295
2021-01-01,59168
2022-01-01,61620
2023-01-01,64922
2024-01-01,68129
