observation_date,MIPCPI
1929-01-01,792
1930-01-01,658
1931-01-01,540
1932-01-01,395
1933-01-01,348
1934-01-01,454
1935-01-01,532
1936-01-01,621
1937-01-01,687
1938-01-01,574
1939-01-01,628
1940-01-01,683
1941-01-01,834
1942-01-01,1058
1943-01-01,1372
1944-01-01,1403
1945-01-01,1342
1946-01-01,1338
1947-01-01,1474
1948-01-01,1561
1949-01-01,1523
1950-01-01,1717
1951-01-01,1896
1952-01-01,1984
1953-01-01,2198
1954-01-01,2069
1955-01-01,2229
1956-01-01,2270
1957-01-01,2304
1958-01-01,2233
1959-01-01,2334
1960-01-01,2411
1961-01-01,2402
1962-01-01,2561
1963-01-01,2692
1964-01-01,2904
1965-01-01,3156
1966-01-01,3379
1967-01-01,3475
1968-01-01,3813
1969-01-01,4107
1970-01-01,4200
1971-01-01,4530
1972-01-01,5001
1973-01-01,5554
1974-01-01,5918
1975-01-01,6340
1976-01-01,7070
1977-01-01,7913
1978-01-01,8778
1979-01-01,9566
1980-01-01,10232
1981-01-01,10987
1982-01-01,11492
1983-01-01,12333
1984-01-01,13594
1985-01-01,14710
1986-01-01,15553
1987-01-01,16003
1988-01-01,17074
1989-01-01,18313
1990-01-01,19048
1991-01-01,19312
1992-01-01,20265
1993-01-01,21198
1994-01-01,22660
1995-01-01,23767
1996-01-01,24773
1997-01-01,25800
1998-01-01,27286
1999-01-01,28506
2000-01-01,30250
2001-01-01,30694
2002-01-01,30595
2003-01-01,31267
2004-01-01,32092
2005-01-01,32756
2006-01-01,33563
2007-01-01,34669
2008-01-01,35826
2009-01-01,34247
2010-01-01,35635
2011-01-01,37689
2012-01-01,39042
2013-01-01,39292
2014-01-01,40829
2015-01-01,42982
2016-01-01,44080
2017-01-01,45264
2018-01-01,47089
2019-01-01,48577
2020-01-01,52787
2021-01-01,56898
2022-01-01,57907
2023-01-01,60865
2024-01-01,63221
