observation_date,MOPCPI
1929-01-01,619
1930-01-01,560
1931-01-01,489
1932-01-01,365
1933-01-01,334
1934-01-01,368
1935-01-01,421
1936-01-01,467
1937-01-01,508
1938-01-01,476
1939-01-01,504
1940-01-01,520
1941-01-01,646
1942-01-01,819
1943-01-01,980
1944-01-01,1083
1945-01-01,1147
1946-01-01,1200
1947-01-01,1230
1948-01-01,1378
1949-01-01,1332
1950-01-01,1438
1951-01-01,1574
1952-01-01,1682
1953-01-01,1763
1954-01-01,1756
1955-01-01,1849
1956-01-01,1937
1957-01-01,1980
1958-01-01,2109
1959-01-01,2196
1960-01-01,2226
1961-01-01,2289
1962-01-01,2407
1963-01-01,2505
1964-01-01,2616
1965-01-01,2828
1966-01-01,2993
1967-01-01,3174
1968-01-01,3492
1969-01-01,3645
1970-01-01,3945
1971-01-01,4222
1972-01-01,4562
1973-01-01,5045
1974-01-01,5386
1975-01-01,5883
1976-01-01,6409
1977-01-01,7070
1978-01-01,7828
1979-01-01,8695
1980-01-01,9374
1981-01-01,10438
1982-01-01,11166
1983-01-01,11889
1984-01-01,13086
1985-01-01,13940
1986-01-01,14608
1987-01-01,15232
1988-01-01,16147
1989-01-01,17258
1990-01-01,17917
1991-01-01,18580
1992-01-01,19566
1993-01-01,20247
1994-01-01,21271
1995-01-01,22201
1996-01-01,23270
1997-01-01,24469
1998-01-01,25506
1999-01-01,26281
2000-01-01,27857
2001-01-01,28634
2002-01-01,29144
2003-01-01,30054
2004-01-01,31396
2005-01-01,32256
2006-01-01,33860
2007-01-01,35228
2008-01-01,37124
2009-01-01,36306
2010-01-01,36984
2011-01-01,38402
2012-01-01,39983
2013-01-01,40121
2014-01-01,41380
2015-01-01,42677
2016-01-01,43826
2017-01-01,44781
2018-01-01,46680
2019-01-01,48425
2020-01-01,52143
2021-01-01,56630
2022-01-01,58986
2023-01-01,62484
2024-01-01,64740
