observation_date,MTPCPI
1929-01-01,592
1930-01-01,501
1931-01-01,387
1932-01-01,334
1933-01-01,299
1934-01-01,365
1935-01-01,475
1936-01-01,478
1937-01-01,514
1938-01-01,515
1939-01-01,530
1940-01-01,566
1941-01-01,708
1942-01-01,901
1943-01-01,1155
1944-01-01,1185
1945-01-01,1212
1946-01-01,1309
1947-01-01,1480
1948-01-01,1638
1949-01-01,1433
1950-01-01,1678
1951-01-01,1834
1952-01-01,1855
1953-01-01,1842
1954-01-01,1807
1955-01-01,1934
1956-01-01,1971
1957-01-01,2034
1958-01-01,2124
1959-01-01,2081
1960-01-01,2137
1961-01-01,2090
1962-01-01,2437
1963-01-01,2406
1964-01-01,2447
1965-01-01,2629
1966-01-01,2814
1967-01-01,2895
1968-01-01,3040
1969-01-01,3387
1970-01-01,3735
1971-01-01,3920
1972-01-01,4492
1973-01-01,5149
1974-01-01,5521
1975-01-01,5978
1976-01-01,6337
1977-01-01,6739
1978-01-01,7768
1979-01-01,8299
1980-01-01,9148
1981-01-01,10303
1982-01-01,10737
1983-01-01,11157
1984-01-01,11687
1985-01-01,11840
1986-01-01,12440
1987-01-01,12862
1988-01-01,13346
1989-01-01,14711
1990-01-01,15470
1991-01-01,16323
1992-01-01,16965
1993-01-01,17939
1994-01-01,18082
1995-01-01,18710
1996-01-01,19378
1997-01-01,20127
1998-01-01,21431
1999-01-01,21723
2000-01-01,22982
2001-01-01,23910
2002-01-01,24516
2003-01-01,26114
2004-01-01,28034
2005-01-01,29839
2006-01-01,31870
2007-01-01,33841
2008-01-01,35569
2009-01-01,34479
2010-01-01,35999
2011-01-01,38150
2012-01-01,40217
2013-01-01,40142
2014-01-01,41850
2015-01-01,43095
2016-01-01,43301
2017-01-01,45369
2018-01-01,47208
2019-01-01,49654
2020-01-01,53487
2021-01-01,58973
2022-01-01,61610
2023-01-01,65075
2024-01-01,67615
