observation_date,NCPCPI
1929-01-01,327
1930-01-01,287
1931-01-01,244
1932-01-01,183
1933-01-01,203
1934-01-01,247
1935-01-01,267
1936-01-01,294
1937-01-01,321
1938-01-01,291
1939-01-01,312
1940-01-01,323
1941-01-01,430
1942-01-01,588
1943-01-01,713
1944-01-01,778
1945-01-01,835
1946-01-01,875
1947-01-01,905
1948-01-01,1008
1949-01-01,978
1950-01-01,1095
1951-01-01,1217
1952-01-01,1256
1953-01-01,1304
1954-01-01,1330
1955-01-01,1404
1956-01-01,1473
1957-01-01,1462
1958-01-01,1540
1959-01-01,1619
1960-01-01,1666
1961-01-01,1729
1962-01-01,1840
1963-01-01,1921
1964-01-01,2055
1965-01-01,2194
1966-01-01,2421
1967-01-01,2588
1968-01-01,2825
1969-01-01,3152
1970-01-01,3397
1971-01-01,3626
1972-01-01,4025
1973-01-01,4491
1974-01-01,4881
1975-01-01,5229
1976-01-01,5745
1977-01-01,6211
1978-01-01,6922
1979-01-01,7568
1980-01-01,8350
1981-01-01,9309
1982-01-01,9864
1983-01-01,10639
1984-01-01,11850
1985-01-01,12628
1986-01-01,13470
1987-01-01,14301
1988-01-01,15510
1989-01-01,16692
1990-01-01,17481
1991-01-01,17978
1992-01-01,19222
1993-01-01,20067
1994-01-01,20928
1995-01-01,21959
1996-01-01,23000
1997-01-01,24189
1998-01-01,25385
1999-01-01,26158
2000-01-01,27410
2001-01-01,27782
2002-01-01,27856
2003-01-01,28709
2004-01-01,30586
2005-01-01,32209
2006-01-01,34189
2007-01-01,35960
2008-01-01,37772
2009-01-01,35921
2010-01-01,35848
2011-01-01,36822
2012-01-01,38876
2013-01-01,38074
2014-01-01,39880
2015-01-01,41632
2016-01-01,42596
2017-01-01,44219
2018-01-01,46048
2019-01-01,48374
2020-01-01,51779
2021-01-01,57023
2022-01-01,58871
2023-01-01,61579
2024-01-01,64855
