observation_date,NHPCPI
1929-01-01,688
1930-01-01,648
1931-01-01,560
1932-01-01,430
1933-01-01,420
1934-01-01,480
1935-01-01,504
1936-01-01,542
1937-01-01,570
1938-01-01,537
1939-01-01,566
1940-01-01,586
1941-01-01,720
1942-01-01,871
1943-01-01,1002
1944-01-01,1082
1945-01-01,1139
1946-01-01,1168
1947-01-01,1233
1948-01-01,1312
1949-01-01,1297
1950-01-01,1373
1951-01-01,1538
1952-01-01,1612
1953-01-01,1692
1954-01-01,1746
1955-01-01,1869
1956-01-01,1951
1957-01-01,2065
1958-01-01,2071
1959-01-01,2198
1960-01-01,2271
1961-01-01,2356
1962-01-01,2464
1963-01-01,2503
1964-01-01,2635
1965-01-01,2787
1966-01-01,3031
1967-01-01,3235
1968-01-01,3513
1969-01-01,3842
1970-01-01,3997
1971-01-01,4225
1972-01-01,4557
1973-01-01,5005
1974-01-01,5406
1975-01-01,5786
1976-01-01,6418
1977-01-01,7050
1978-01-01,7932
1979-01-01,8896
1980-01-01,10043
1981-01-01,11217
1982-01-01,12199
1983-01-01,13270
1984-01-01,14693
1985-01-01,15883
1986-01-01,17072
1987-01-01,18292
1988-01-01,19682
1989-01-01,20665
1990-01-01,20681
1991-01-01,21459
1992-01-01,22323
1993-01-01,22812
1994-01-01,24071
1995-01-01,25205
1996-01-01,26298
1997-01-01,27985
1998-01-01,30348
1999-01-01,31857
2000-01-01,35323
2001-01-01,36782
2002-01-01,37013
2003-01-01,37374
2004-01-01,39324
2005-01-01,40404
2006-01-01,42866
2007-01-01,44422
2008-01-01,45713
2009-01-01,45119
2010-01-01,46982
2011-01-01,49086
2012-01-01,50715
2013-01-01,50423
2014-01-01,51988
2015-01-01,54161
2016-01-01,55677
2017-01-01,57878
2018-01-01,60335
2019-01-01,63946
2020-01-01,67535
2021-01-01,73672
2022-01-01,74952
2023-01-01,78936
2024-01-01,82878
