observation_date,NJPCPI
1929-01-01,921
1930-01-01,851
1931-01-01,741
1932-01-01,593
1933-01-01,529
1934-01-01,578
1935-01-01,631
1936-01-01,715
1937-01-01,753
1938-01-01,704
1939-01-01,757
1940-01-01,830
1941-01-01,969
1942-01-01,1185
1943-01-01,1454
1944-01-01,1576
1945-01-01,1609
1946-01-01,1547
1947-01-01,1589
1948-01-01,1667
1949-01-01,1639
1950-01-01,1820
1951-01-01,2024
1952-01-01,2144
1953-01-01,2262
1954-01-01,2246
1955-01-01,2322
1956-01-01,2469
1957-01-01,2575
1958-01-01,2480
1959-01-01,2611
1960-01-01,2712
1961-01-01,2777
1962-01-01,2936
1963-01-01,3008
1964-01-01,3163
1965-01-01,3344
1966-01-01,3577
1967-01-01,3810
1968-01-01,4135
1969-01-01,4581
1970-01-01,4909
1971-01-01,5229
1972-01-01,5642
1973-01-01,6143
1974-01-01,6673
1975-01-01,7203
1976-01-01,7817
1977-01-01,8554
1978-01-01,9475
1979-01-01,10493
1980-01-01,11806
1981-01-01,13118
1982-01-01,14127
1983-01-01,15193
1984-01-01,16684
1985-01-01,17776
1986-01-01,18891
1987-01-01,20169
1988-01-01,22105
1989-01-01,23671
1990-01-01,24755
1991-01-01,25103
1992-01-01,26699
1993-01-01,27350
1994-01-01,28083
1995-01-01,29555
1996-01-01,30999
1997-01-01,32705
1998-01-01,34580
1999-01-01,35854
2000-01-01,39095
2001-01-01,40189
2002-01-01,40454
2003-01-01,41167
2004-01-01,42825
2005-01-01,44238
2006-01-01,47366
2007-01-01,50133
2008-01-01,51606
2009-01-01,49828
2010-01-01,50961
2011-01-01,52854
2012-01-01,54235
2013-01-01,54365
2014-01-01,56367
2015-01-01,58408
2016-01-01,59776
2017-01-01,61704
2018-01-01,64198
2019-01-01,67518
2020-01-01,70430
2021-01-01,76040
2022-01-01,77456
2023-01-01,81325
2024-01-01,84071
