observation_date,NMPCPI
1929-01-01,405
1930-01-01,333
1931-01-01,287
1932-01-01,208
1933-01-01,211
1934-01-01,246
1935-01-01,293
1936-01-01,343
1937-01-01,362
1938-01-01,338
1939-01-01,356
1940-01-01,377
1941-01-01,476
1942-01-01,656
1943-01-01,803
1944-01-01,908
1945-01-01,971
1946-01-01,947
1947-01-01,1026
1948-01-01,1156
1949-01-01,1188
1950-01-01,1260
1951-01-01,1410
1952-01-01,1506
1953-01-01,1536
1954-01-01,1557
1955-01-01,1641
1956-01-01,1725
1957-01-01,1842
1958-01-01,1952
1959-01-01,2022
1960-01-01,2004
1961-01-01,2073
1962-01-01,2124
1963-01-01,2174
1964-01-01,2260
1965-01-01,2383
1966-01-01,2517
1967-01-01,2620
1968-01-01,2854
1969-01-01,3109
1970-01-01,3420
1971-01-01,3677
1972-01-01,4039
1973-01-01,4421
1974-01-01,4858
1975-01-01,5391
1976-01-01,5846
1977-01-01,6382
1978-01-01,7148
1979-01-01,7877
1980-01-01,8649
1981-01-01,9597
1982-01-01,10273
1983-01-01,10820
1984-01-01,11612
1985-01-01,12384
1986-01-01,12656
1987-01-01,13010
1988-01-01,13675
1989-01-01,14514
1990-01-01,15308
1991-01-01,16044
1992-01-01,16784
1993-01-01,17595
1994-01-01,18265
1995-01-01,19191
1996-01-01,19782
1997-01-01,20509
1998-01-01,21318
1999-01-01,21523
2000-01-01,23019
2001-01-01,24545
2002-01-01,25237
2003-01-01,26108
2004-01-01,27366
2005-01-01,28744
2006-01-01,30433
2007-01-01,31780
2008-01-01,33552
2009-01-01,32901
2010-01-01,33658
2011-01-01,35069
2012-01-01,35694
2013-01-01,34857
2014-01-01,36880
2015-01-01,37752
2016-01-01,38474
2017-01-01,39196
2018-01-01,40976
2019-01-01,43223
2020-01-01,46483
2021-01-01,50682
2022-01-01,53069
2023-01-01,55166
2024-01-01,57652
