observation_date,NVPCPI
1929-01-01,874
1930-01-01,834
1931-01-01,665
1932-01-01,557
1933-01-01,499
1934-01-01,560
1935-01-01,667
1936-01-01,845
1937-01-01,775
1938-01-01,785
1939-01-01,864
1940-01-01,902
1941-01-01,1001
1942-01-01,1592
1943-01-01,1550
1944-01-01,1526
1945-01-01,1658
1946-01-01,1786
1947-01-01,1791
1948-01-01,1811
1949-01-01,1868
1950-01-01,2089
1951-01-01,2315
1952-01-01,2513
1953-01-01,2574
1954-01-01,2542
1955-01-01,2657
1956-01-01,2634
1957-01-01,2719
1958-01-01,2780
1959-01-01,2932
1960-01-01,3079
1961-01-01,3153
1962-01-01,3369
1963-01-01,3350
1964-01-01,3388
1965-01-01,3480
1966-01-01,3656
1967-01-01,3857
1968-01-01,4340
1969-01-01,4747
1970-01-01,5191
1971-01-01,5501
1972-01-01,5847
1973-01-01,6381
1974-01-01,6746
1975-01-01,7331
1976-01-01,7994
1977-01-01,8815
1978-01-01,10045
1979-01-01,10942
1980-01-01,11949
1981-01-01,12975
1982-01-01,13332
1983-01-01,13893
1984-01-01,14741
1985-01-01,15553
1986-01-01,16295
1987-01-01,17009
1988-01-01,18443
1989-01-01,19632
1990-01-01,20512
1991-01-01,21250
1992-01-01,22540
1993-01-01,23337
1994-01-01,24306
1995-01-01,25339
1996-01-01,26608
1997-01-01,27464
1998-01-01,29256
1999-01-01,30301
2000-01-01,31858
2001-01-01,32418
2002-01-01,32180
2003-01-01,33136
2004-01-01,35173
2005-01-01,37907
2006-01-01,39437
2007-01-01,39870
2008-01-01,38640
2009-01-01,36125
2010-01-01,37289
2011-01-01,38595
2012-01-01,39680
2013-01-01,39331
2014-01-01,41126
2015-01-01,43799
2016-01-01,44715
2017-01-01,46991
2018-01-01,49289
2019-01-01,51942
2020-01-01,54656
2021-01-01,60775
2022-01-01,62493
2023-01-01,65822
2024-01-01,68657
