observation_date,NYPCPI
1929-01-01,1156
1930-01-01,1042
1931-01-01,889
1932-01-01,686
1933-01-01,634
1934-01-01,688
1935-01-01,732
1936-01-01,819
1937-01-01,848
1938-01-01,801
1939-01-01,837
1940-01-01,883
1941-01-01,1012
1942-01-01,1191
1943-01-01,1416
1944-01-01,1569
1945-01-01,1681
1946-01-01,1725
1947-01-01,1751
1948-01-01,1783
1949-01-01,1738
1950-01-01,1868
1951-01-01,2020
1952-01-01,2075
1953-01-01,2160
1954-01-01,2190
1955-01-01,2310
1956-01-01,2432
1957-01-01,2542
1958-01-01,2608
1959-01-01,2750
1960-01-01,2847
1961-01-01,2936
1962-01-01,3055
1963-01-01,3160
1964-01-01,3351
1965-01-01,3531
1966-01-01,3768
1967-01-01,4044
1968-01-01,4435
1969-01-01,4619
1970-01-01,4920
1971-01-01,5234
1972-01-01,5603
1973-01-01,6022
1974-01-01,6533
1975-01-01,7066
1976-01-01,7510
1977-01-01,8158
1978-01-01,8949
1979-01-01,9832
1980-01-01,11006
1981-01-01,12263
1982-01-01,13312
1983-01-01,14288
1984-01-01,15726
1985-01-01,16801
1986-01-01,17903
1987-01-01,18991
1988-01-01,20814
1989-01-01,22439
1990-01-01,23992
1991-01-01,23898
1992-01-01,25050
1993-01-01,25561
1994-01-01,26234
1995-01-01,27549
1996-01-01,28886
1997-01-01,30398
1998-01-01,31995
1999-01-01,33641
2000-01-01,35955
2001-01-01,37176
2002-01-01,36972
2003-01-01,37420
2004-01-01,39093
2005-01-01,40645
2006-01-01,43760
2007-01-01,47020
2008-01-01,47909
2009-01-01,46936
2010-01-01,48578
2011-01-01,50772
2012-01-01,52625
2013-01-01,52874
2014-01-01,54496
2015-01-01,56608
2016-01-01,58400
2017-01-01,62206
2018-01-01,64229
2019-01-01,66460
2020-01-01,70395
2021-01-01,76040
2022-01-01,77382
2023-01-01,81630
2024-01-01,85733
