observation_date,OHPCPI
1929-01-01,772
1930-01-01,664
1931-01-01,563
1932-01-01,403
1933-01-01,387
1934-01-01,457
1935-01-01,519
1936-01-01,597
1937-01-01,651
1938-01-01,565
1939-01-01,620
1940-01-01,664
1941-01-01,828
1942-01-01,1032
1943-01-01,1273
1944-01-01,1330
1945-01-01,1361
1946-01-01,1324
1947-01-01,1411
1948-01-01,1541
1949-01-01,1456
1950-01-01,1611
1951-01-01,1841
1952-01-01,1923
1953-01-01,2031
1954-01-01,1974
1955-01-01,2098
1956-01-01,2193
1957-01-01,2256
1958-01-01,2194
1959-01-01,2331
1960-01-01,2410
1961-01-01,2426
1962-01-01,2539
1963-01-01,2630
1964-01-01,2781
1965-01-01,2970
1966-01-01,3200
1967-01-01,3325
1968-01-01,3633
1969-01-01,3957
1970-01-01,4137
1971-01-01,4376
1972-01-01,4743
1973-01-01,5252
1974-01-01,5752
1975-01-01,6143
1976-01-01,6752
1977-01-01,7464
1978-01-01,8231
1979-01-01,9088
1980-01-01,9928
1981-01-01,10807
1982-01-01,11342
1983-01-01,12029
1984-01-01,13271
1985-01-01,14098
1986-01-01,14764
1987-01-01,15379
1988-01-01,16496
1989-01-01,17687
1990-01-01,18682
1991-01-01,18991
1992-01-01,20044
1993-01-01,20735
1994-01-01,21796
1995-01-01,22742
1996-01-01,23719
1997-01-01,25024
1998-01-01,26388
1999-01-01,27119
2000-01-01,28496
2001-01-01,29261
2002-01-01,29669
2003-01-01,30471
2004-01-01,31588
2005-01-01,32419
2006-01-01,33976
2007-01-01,35371
2008-01-01,36654
2009-01-01,35593
2010-01-01,36580
2011-01-01,38927
2012-01-01,40279
2013-01-01,40752
2014-01-01,42277
2015-01-01,43799
2016-01-01,44574
2017-01-01,46114
2018-01-01,47821
2019-01-01,49395
2020-01-01,52839
2021-01-01,57330
2022-01-01,58301
2023-01-01,61297
2024-01-01,64225
