observation_date,ORPCPI
1929-01-01,666
1930-01-01,605
1931-01-01,504
1932-01-01,377
1933-01-01,357
1934-01-01,437
1935-01-01,459
1936-01-01,547
1937-01-01,556
1938-01-01,531
1939-01-01,571
1940-01-01,611
1941-01-01,823
1942-01-01,1132
1943-01-01,1403
1944-01-01,1402
1945-01-01,1372
1946-01-01,1390
1947-01-01,1515
1948-01-01,1676
1949-01-01,1641
1950-01-01,1695
1951-01-01,1876
1952-01-01,1961
1953-01-01,1973
1954-01-01,1929
1955-01-01,2048
1956-01-01,2146
1957-01-01,2133
1958-01-01,2182
1959-01-01,2322
1960-01-01,2366
1961-01-01,2435
1962-01-01,2542
1963-01-01,2626
1964-01-01,2773
1965-01-01,2933
1966-01-01,3107
1967-01-01,3278
1968-01-01,3524
1969-01-01,3798
1970-01-01,4065
1971-01-01,4364
1972-01-01,4788
1973-01-01,5291
1974-01-01,5889
1975-01-01,6418
1976-01-01,7091
1977-01-01,7712
1978-01-01,8592
1979-01-01,9460
1980-01-01,10237
1981-01-01,10927
1982-01-01,11254
1983-01-01,12029
1984-01-01,12953
1985-01-01,13581
1986-01-01,14233
1987-01-01,14820
1988-01-01,15952
1989-01-01,17213
1990-01-01,18153
1991-01-01,18686
1992-01-01,19528
1993-01-01,20428
1994-01-01,21444
1995-01-01,22624
1996-01-01,23919
1997-01-01,24900
1998-01-01,25915
1999-01-01,26498
2000-01-01,28257
2001-01-01,28774
2002-01-01,28759
2003-01-01,29523
2004-01-01,30980
2005-01-01,32125
2006-01-01,34488
2007-01-01,35624
2008-01-01,36856
2009-01-01,35286
2010-01-01,35941
2011-01-01,37531
2012-01-01,39128
2013-01-01,39462
2014-01-01,41654
2015-01-01,44166
2016-01-01,45467
2017-01-01,47566
2018-01-01,50209
2019-01-01,52190
2020-01-01,56594
2021-01-01,62379
2022-01-01,63986
2023-01-01,67514
2024-01-01,70685
