observation_date,PAPCPI
1929-01-01,776
1930-01-01,717
1931-01-01,605
1932-01-01,455
1933-01-01,423
1934-01-01,487
1935-01-01,524
1936-01-01,608
1937-01-01,643
1938-01-01,570
1939-01-01,609
1940-01-01,659
1941-01-01,786
1942-01-01,965
1943-01-01,1169
1944-01-01,1272
1945-01-01,1305
1946-01-01,1305
1947-01-01,1378
1948-01-01,1437
1949-01-01,1403
1950-01-01,1552
1951-01-01,1719
1952-01-01,1797
1953-01-01,1903
1954-01-01,1835
1955-01-01,1923
1956-01-01,2071
1957-01-01,2184
1958-01-01,2175
1959-01-01,2247
1960-01-01,2305
1961-01-01,2342
1962-01-01,2452
1963-01-01,2530
1964-01-01,2684
1965-01-01,2854
1966-01-01,3066
1967-01-01,3279
1968-01-01,3546
1969-01-01,3862
1970-01-01,4135
1971-01-01,4362
1972-01-01,4753
1973-01-01,5219
1974-01-01,5743
1975-01-01,6259
1976-01-01,6838
1977-01-01,7505
1978-01-01,8283
1979-01-01,9156
1980-01-01,10038
1981-01-01,11079
1982-01-01,11847
1983-01-01,12436
1984-01-01,13437
1985-01-01,14298
1986-01-01,15022
1987-01-01,15818
1988-01-01,17137
1989-01-01,18526
1990-01-01,19566
1991-01-01,20267
1992-01-01,21238
1993-01-01,21911
1994-01-01,22592
1995-01-01,23556
1996-01-01,24699
1997-01-01,25935
1998-01-01,27309
1999-01-01,28416
2000-01-01,30339
2001-01-01,31563
2002-01-01,32084
2003-01-01,33066
2004-01-01,34860
2005-01-01,36173
2006-01-01,37803
2007-01-01,40008
2008-01-01,41467
2009-01-01,40446
2010-01-01,42097
2011-01-01,44119
2012-01-01,45637
2013-01-01,45902
2014-01-01,47467
2015-01-01,49291
2016-01-01,50572
2017-01-01,51886
2018-01-01,54468
2019-01-01,56139
2020-01-01,60245
2021-01-01,63779
2022-01-01,65336
2023-01-01,68649
2024-01-01,71148
