observation_date,RIPCPI
1929-01-01,881
1930-01-01,795
1931-01-01,718
1932-01-01,584
1933-01-01,569
1934-01-01,609
1935-01-01,655
1936-01-01,721
1937-01-01,742
1938-01-01,683
1939-01-01,732
1940-01-01,767
1941-01-01,958
1942-01-01,1189
1943-01-01,1246
1944-01-01,1312
1945-01-01,1318
1946-01-01,1405
1947-01-01,1488
1948-01-01,1468
1949-01-01,1414
1950-01-01,1601
1951-01-01,1779
1952-01-01,1835
1953-01-01,1930
1954-01-01,1931
1955-01-01,2040
1956-01-01,2081
1957-01-01,2110
1958-01-01,2197
1959-01-01,2317
1960-01-01,2358
1961-01-01,2457
1962-01-01,2603
1963-01-01,2703
1964-01-01,2849
1965-01-01,3049
1966-01-01,3307
1967-01-01,3546
1968-01-01,3820
1969-01-01,4015
1970-01-01,4306
1971-01-01,4499
1972-01-01,4836
1973-01-01,5158
1974-01-01,5547
1975-01-01,6068
1976-01-01,6600
1977-01-01,7187
1978-01-01,7868
1979-01-01,8742
1980-01-01,9901
1981-01-01,10971
1982-01-01,11799
1983-01-01,12741
1984-01-01,13890
1985-01-01,14864
1986-01-01,15799
1987-01-01,16655
1988-01-01,18289
1989-01-01,19816
1990-01-01,20309
1991-01-01,20431
1992-01-01,21305
1993-01-01,22149
1994-01-01,22689
1995-01-01,23873
1996-01-01,24599
1997-01-01,25898
1998-01-01,27493
1999-01-01,28432
2000-01-01,30350
2001-01-01,31795
2002-01-01,32801
2003-01-01,34256
2004-01-01,35867
2005-01-01,36746
2006-01-01,38719
2007-01-01,40608
2008-01-01,41487
2009-01-01,40588
2010-01-01,42630
2011-01-01,44095
2012-01-01,45298
2013-01-01,45104
2014-01-01,46630
2015-01-01,48049
2016-01-01,48515
2017-01-01,50414
2018-01-01,52132
2019-01-01,55123
2020-01-01,59250
2021-01-01,62898
2022-01-01,64075
2023-01-01,67105
2024-01-01,69936
