observation_date,SCPCPI
1929-01-01,267
1930-01-01,239
1931-01-01,203
1932-01-01,156
1933-01-01,172
1934-01-01,207
1935-01-01,228
1936-01-01,256
1937-01-01,271
1938-01-01,248
1939-01-01,275
1940-01-01,314
1941-01-01,415
1942-01-01,580
1943-01-01,675
1944-01-01,753
1945-01-01,772
1946-01-01,791
1947-01-01,803
1948-01-01,926
1949-01-01,885
1950-01-01,943
1951-01-01,1158
1952-01-01,1238
1953-01-01,1274
1954-01-01,1210
1955-01-01,1272
1956-01-01,1306
1957-01-01,1337
1958-01-01,1368
1959-01-01,1448
1960-01-01,1493
1961-01-01,1556
1962-01-01,1658
1963-01-01,1728
1964-01-01,1845
1965-01-01,2024
1966-01-01,2251
1967-01-01,2416
1968-01-01,2656
1969-01-01,2959
1970-01-01,3225
1971-01-01,3449
1972-01-01,3792
1973-01-01,4213
1974-01-01,4655
1975-01-01,4963
1976-01-01,5472
1977-01-01,5886
1978-01-01,6537
1979-01-01,7219
1980-01-01,7967
1981-01-01,8839
1982-01-01,9315
1983-01-01,10034
1984-01-01,11048
1985-01-01,11713
1986-01-01,12371
1987-01-01,13087
1988-01-01,14128
1989-01-01,15178
1990-01-01,16106
1991-01-01,16505
1992-01-01,17306
1993-01-01,17976
1994-01-01,18848
1995-01-01,19740
1996-01-01,20719
1997-01-01,21685
1998-01-01,22900
1999-01-01,23687
2000-01-01,25025
2001-01-01,25644
2002-01-01,26122
2003-01-01,26792
2004-01-01,27892
2005-01-01,29136
2006-01-01,30789
2007-01-01,32190
2008-01-01,33110
2009-01-01,31973
2010-01-01,32749
2011-01-01,34406
2012-01-01,35807
2013-01-01,35923
2014-01-01,37755
2015-01-01,39598
2016-01-01,40752
2017-01-01,42385
2018-01-01,43817
2019-01-01,46150
2020-01-01,48769
2021-01-01,53220
2022-01-01,54378
2023-01-01,57180
2024-01-01,59995
