observation_date,TNPCPI
1929-01-01,373
1930-01-01,321
1931-01-01,273
1932-01-01,194
1933-01-01,201
1934-01-01,242
1935-01-01,263
1936-01-01,303
1937-01-01,332
1938-01-01,298
1939-01-01,310
1940-01-01,339
1941-01-01,441
1942-01-01,570
1943-01-01,745
1944-01-01,879
1945-01-01,926
1946-01-01,880
1947-01-01,896
1948-01-01,970
1949-01-01,959
1950-01-01,1040
1951-01-01,1140
1952-01-01,1200
1953-01-01,1300
1954-01-01,1300
1955-01-01,1351
1956-01-01,1448
1957-01-01,1507
1958-01-01,1553
1959-01-01,1640
1960-01-01,1659
1961-01-01,1733
1962-01-01,1815
1963-01-01,1902
1964-01-01,2016
1965-01-01,2182
1966-01-01,2387
1967-01-01,2532
1968-01-01,2809
1969-01-01,3032
1970-01-01,3264
1971-01-01,3538
1972-01-01,3906
1973-01-01,4384
1974-01-01,4778
1975-01-01,5138
1976-01-01,5664
1977-01-01,6174
1978-01-01,6943
1979-01-01,7620
1980-01-01,8280
1981-01-01,9157
1982-01-01,9693
1983-01-01,10317
1984-01-01,11403
1985-01-01,12130
1986-01-01,12916
1987-01-01,13751
1988-01-01,14850
1989-01-01,15836
1990-01-01,16710
1991-01-01,17334
1992-01-01,18619
1993-01-01,19472
1994-01-01,20345
1995-01-01,21452
1996-01-01,22274
1997-01-01,23237
1998-01-01,25091
1999-01-01,25756
2000-01-01,26998
2001-01-01,27496
2002-01-01,28102
2003-01-01,29059
2004-01-01,30435
2005-01-01,31410
2006-01-01,32878
2007-01-01,33963
2008-01-01,34954
2009-01-01,34427
2010-01-01,35809
2011-01-01,37696
2012-01-01,39079
2013-01-01,39099
2014-01-01,40225
2015-01-01,41937
2016-01-01,42938
2017-01-01,44407
2018-01-01,46449
2019-01-01,48903
2020-01-01,51945
2021-01-01,57491
2022-01-01,59099
2023-01-01,62039
2024-01-01,64908
