observation_date,UTPCPI
1929-01-01,548
1930-01-01,494
1931-01-01,372
1932-01-01,304
1933-01-01,297
1934-01-01,314
1935-01-01,391
1936-01-01,463
1937-01-01,447
1938-01-01,446
1939-01-01,460
1940-01-01,484
1941-01-01,600
1942-01-01,907
1943-01-01,1164
1944-01-01,1078
1945-01-01,1153
1946-01-01,1121
1947-01-01,1196
1948-01-01,1287
1949-01-01,1295
1950-01-01,1391
1951-01-01,1600
1952-01-01,1657
1953-01-01,1667
1954-01-01,1640
1955-01-01,1738
1956-01-01,1835
1957-01-01,1950
1958-01-01,1973
1959-01-01,2054
1960-01-01,2122
1961-01-01,2187
1962-01-01,2326
1963-01-01,2377
1964-01-01,2492
1965-01-01,2599
1966-01-01,2727
1967-01-01,2849
1968-01-01,3024
1969-01-01,3254
1970-01-01,3558
1971-01-01,3855
1972-01-01,4179
1973-01-01,4520
1974-01-01,4930
1975-01-01,5341
1976-01-01,5866
1977-01-01,6412
1978-01-01,7119
1979-01-01,7747
1980-01-01,8365
1981-01-01,9158
1982-01-01,9663
1983-01-01,10117
1984-01-01,10972
1985-01-01,11601
1986-01-01,12046
1987-01-01,12471
1988-01-01,13206
1989-01-01,14035
1990-01-01,15004
1991-01-01,15663
1992-01-01,16390
1993-01-01,17102
1994-01-01,17920
1995-01-01,19003
1996-01-01,20156
1997-01-01,21229
1998-01-01,22207
1999-01-01,22995
2000-01-01,24162
2001-01-01,24867
2002-01-01,25167
2003-01-01,25749
2004-01-01,26980
2005-01-01,28751
2006-01-01,31107
2007-01-01,32924
2008-01-01,33784
2009-01-01,31796
2010-01-01,32037
2011-01-01,34015
2012-01-01,35622
2013-01-01,36102
2014-01-01,37621
2015-01-01,39881
2016-01-01,41295
2017-01-01,43030
2018-01-01,45463
2019-01-01,48163
2020-01-01,51741
2021-01-01,58183
2022-01-01,60607
2023-01-01,63700
2024-01-01,66443
