observation_date,VAPCPI
1929-01-01,435
1930-01-01,387
1931-01-01,371
1932-01-01,286
1933-01-01,286
1934-01-01,323
1935-01-01,354
1936-01-01,394
1937-01-01,426
1938-01-01,394
1939-01-01,431
1940-01-01,480
1941-01-01,614
1942-01-01,847
1943-01-01,887
1944-01-01,938
1945-01-01,987
1946-01-01,1050
1947-01-01,1052
1948-01-01,1202
1949-01-01,1185
1950-01-01,1327
1951-01-01,1512
1952-01-01,1615
1953-01-01,1647
1954-01-01,1677
1955-01-01,1754
1956-01-01,1829
1957-01-01,1868
1958-01-01,1895
1959-01-01,2006
1960-01-01,2050
1961-01-01,2126
1962-01-01,2248
1963-01-01,2364
1964-01-01,2559
1965-01-01,2729
1966-01-01,2923
1967-01-01,3161
1968-01-01,3459
1969-01-01,3868
1970-01-01,4157
1971-01-01,4505
1972-01-01,4922
1973-01-01,5424
1974-01-01,5924
1975-01-01,6404
1976-01-01,6969
1977-01-01,7613
1978-01-01,8514
1979-01-01,9425
1980-01-01,10571
1981-01-01,11692
1982-01-01,12526
1983-01-01,13344
1984-01-01,14626
1985-01-01,15620
1986-01-01,16572
1987-01-01,17487
1988-01-01,18860
1989-01-01,20122
1990-01-01,20840
1991-01-01,21452
1992-01-01,22390
1993-01-01,23180
1994-01-01,24085
1995-01-01,25011
1996-01-01,25935
1997-01-01,27328
1998-01-01,28965
1999-01-01,30574
2000-01-01,32631
2001-01-01,33940
2002-01-01,34495
2003-01-01,36151
2004-01-01,38082
2005-01-01,40027
2006-01-01,42164
2007-01-01,44020
2008-01-01,45383
2009-01-01,44091
2010-01-01,45442
2011-01-01,47563
2012-01-01,49049
2013-01-01,48195
2014-01-01,49760
2015-01-01,51617
2016-01-01,52656
2017-01-01,54377
2018-01-01,56130
2019-01-01,58362
2020-01-01,61400
2021-01-01,66971
2022-01-01,69673
2023-01-01,73681
2024-01-01,77093
