observation_date,WAPCPI
1929-01-01,740
1930-01-01,657
1931-01-01,534
1932-01-01,402
1933-01-01,376
1934-01-01,442
1935-01-01,491
1936-01-01,570
1937-01-01,601
1938-01-01,583
1939-01-01,618
1940-01-01,667
1941-01-01,885
1942-01-01,1233
1943-01-01,1507
1944-01-01,1557
1945-01-01,1452
1946-01-01,1432
1947-01-01,1531
1948-01-01,1678
1949-01-01,1656
1950-01-01,1797
1951-01-01,1955
1952-01-01,2063
1953-01-01,2168
1954-01-01,2183
1955-01-01,2222
1956-01-01,2277
1957-01-01,2371
1958-01-01,2376
1959-01-01,2480
1960-01-01,2539
1961-01-01,2640
1962-01-01,2788
1963-01-01,2841
1964-01-01,2968
1965-01-01,3190
1966-01-01,3498
1967-01-01,3689
1968-01-01,3986
1969-01-01,4258
1970-01-01,4400
1971-01-01,4595
1972-01-01,4955
1973-01-01,5532
1974-01-01,6152
1975-01-01,6831
1976-01-01,7424
1977-01-01,8062
1978-01-01,9101
1979-01-01,10156
1980-01-01,11133
1981-01-01,12127
1982-01-01,12761
1983-01-01,13555
1984-01-01,14356
1985-01-01,15076
1986-01-01,15908
1987-01-01,16493
1988-01-01,17598
1989-01-01,19007
1990-01-01,20219
1991-01-01,21149
1992-01-01,22220
1993-01-01,22836
1994-01-01,23570
1995-01-01,24436
1996-01-01,25841
1997-01-01,27245
1998-01-01,29355
1999-01-01,30786
2000-01-01,32538
2001-01-01,32986
2002-01-01,33222
2003-01-01,34267
2004-01-01,36309
2005-01-01,37202
2006-01-01,39744
2007-01-01,42524
2008-01-01,44098
2009-01-01,41679
2010-01-01,42327
2011-01-01,44279
2012-01-01,47053
2013-01-01,47448
2014-01-01,50259
2015-01-01,52408
2016-01-01,54296
2017-01-01,56800
2018-01-01,59824
2019-01-01,63431
2020-01-01,67619
2021-01-01,73628
2022-01-01,75580
2023-01-01,80472
2024-01-01,83938
