observation_date,WIPCPI
1929-01-01,670
1930-01-01,585
1931-01-01,469
1932-01-01,362
1933-01-01,334
1934-01-01,380
1935-01-01,461
1936-01-01,518
1937-01-01,551
1938-01-01,508
1939-01-01,515
1940-01-01,548
1941-01-01,673
1942-01-01,872
1943-01-01,1065
1944-01-01,1116
1945-01-01,1191
1946-01-01,1214
1947-01-01,1298
1948-01-01,1436
1949-01-01,1391
1950-01-01,1515
1951-01-01,1750
1952-01-01,1814
1953-01-01,1850
1954-01-01,1786
1955-01-01,1891
1956-01-01,2007
1957-01-01,2078
1958-01-01,2089
1959-01-01,2237
1960-01-01,2270
1961-01-01,2315
1962-01-01,2423
1963-01-01,2465
1964-01-01,2619
1965-01-01,2788
1966-01-01,3016
1967-01-01,3161
1968-01-01,3428
1969-01-01,3752
1970-01-01,3988
1971-01-01,4251
1972-01-01,4609
1973-01-01,5125
1974-01-01,5605
1975-01-01,6099
1976-01-01,6676
1977-01-01,7416
1978-01-01,8249
1979-01-01,9172
1980-01-01,10038
1981-01-01,10915
1982-01-01,11509
1983-01-01,12118
1984-01-01,13270
1985-01-01,13953
1986-01-01,14694
1987-01-01,15385
1988-01-01,16255
1989-01-01,17594
1990-01-01,18435
1991-01-01,18953
1992-01-01,20166
1993-01-01,20967
1994-01-01,22063
1995-01-01,22981
1996-01-01,24080
1997-01-01,25409
1998-01-01,27018
1999-01-01,27892
2000-01-01,29493
2001-01-01,30812
2002-01-01,31406
2003-01-01,32084
2004-01-01,33319
2005-01-01,34218
2006-01-01,36047
2007-01-01,37522
2008-01-01,38857
2009-01-01,38138
2010-01-01,39048
2011-01-01,41067
2012-01-01,42639
2013-01-01,42685
2014-01-01,44156
2015-01-01,45928
2016-01-01,46595
2017-01-01,48311
2018-01-01,50520
2019-01-01,52370
2020-01-01,55428
2021-01-01,60449
2022-01-01,61851
2023-01-01,64763
2024-01-01,67586
