Year,State,Food-at-home sales without taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales without taxes and tips (millions of nominal U.S. dollars),Total food sales without taxes and tips (millions of nominal U.S. dollars),Food-at-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales without taxes and tips (millions of constant U.S. dollars (1988=100))
1997,Alabama,"5,346.60","3,716.90","9,063.50","3,976.38","2,854.13","6,830.51"
1998,Alabama,"5,498.42","4,017.02","9,515.44","4,029.62","3,005.40","7,035.02"
1999,Alabama,"5,736.90","4,254.22","9,991.12","4,138.74","3,106.90","7,245.64"
2000,Alabama,"5,935.23","4,433.60","10,368.83","4,169.83","3,166.11","7,335.94"
2001,Alabama,"6,147.71","4,659.76","10,807.47","4,199.06","3,240.65","7,439.71"
2002,Alabama,"6,277.02","4,896.23","11,173.25","4,232.32","3,329.43","7,561.75"
2003,Alabama,"6,672.02","5,272.74","11,944.76","4,403.54","3,501.81","7,905.35"
2004,Alabama,"7,063.87","5,646.20","12,710.07","4,485.31","3,637.34","8,122.65"
2005,Alabama,"7,552.61","6,025.02","13,577.63","4,700.03","3,772.18","8,472.21"
2006,Alabama,"7,697.19","6,436.89","14,134.08","4,698.87","3,910.05","8,608.92"
2007,Alabama,"8,146.38","6,791.07","14,937.45","4,772.90","3,988.94","8,761.84"
2008,Alabama,"8,493.92","7,008.16","15,502.08","4,663.00","3,935.31","8,598.31"
2009,Alabama,"8,252.75","6,985.04","15,237.79","4,496.36","3,784.93","8,281.29"
2010,Alabama,"8,503.64","7,180.72","15,684.36","4,605.94","3,841.99","8,447.93"
2011,Alabama,"8,869.67","7,492.73","16,362.40","4,570.26","3,921.71","8,491.97"
2012,Alabama,"8,960.27","7,860.73","16,821.00","4,495.49","4,004.14","8,499.63"
2013,Alabama,"9,094.43","8,295.33","17,389.76","4,509.21","4,130.69","8,639.90"
2014,Alabama,"9,557.40","8,871.78","18,429.18","4,626.02","4,316.09","8,942.11"
2015,Alabama,"9,771.79","9,610.90","19,382.69","4,681.47","4,537.20","9,218.67"
2016,Alabama,"9,887.72","10,245.93","20,133.65","4,805.28","4,742.21","9,547.49"
2017,Alabama,"10,273.26","10,809.03","21,082.29","5,003.76","4,904.09","9,907.85"
2018,Alabama,"10,600.63","11,317.23","21,917.86","5,147.82","5,028.55","10,176.37"
2019,Alabama,"10,954.86","11,863.81","22,818.67","5,283.47","5,114.18","10,397.65"
2020,Alabama,"11,657.00","11,001.70","22,658.70","5,431.00","4,616.49","10,047.49"
