Year,State,Food-at-home per capita sales without taxes and tips (nominal U.S. dollars),Food-away-from-home per capita sales without taxes and tips (nominal U.S. dollars),Total food per capita sales without taxes and tips (nominal U.S. dollars),Food-at-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Total food per capita sales without taxes and tips (constant U.S. dollars (1988=100))
1997,Alabama," 1,237.56 ", 860.34 ," 2,097.90 ", 920.40 , 660.64 ," 1,581.04 "
1998,Alabama," 1,263.70 ", 923.23 ," 2,186.93 ", 926.13 , 690.73 ," 1,616.86 "
1999,Alabama," 1,312.83 ", 973.54 ," 2,286.37 ", 947.11 , 710.98 ," 1,658.09 "
2000,Alabama," 1,333.11 ", 995.83 ," 2,328.94 ", 936.58 , 711.14 ," 1,647.72 "
2001,Alabama," 1,376.06 "," 1,043.00 "," 2,419.06 ", 939.88 , 725.36 ," 1,665.24 "
2002,Alabama," 1,401.09 "," 1,092.89 "," 2,493.98 ", 944.69 , 743.16 ," 1,687.85 "
2003,Alabama," 1,481.52 "," 1,170.81 "," 2,652.33 ", 977.80 , 777.58 ," 1,755.38 "
2004,Alabama," 1,559.10 "," 1,246.20 "," 2,805.30 ", 989.97 , 802.82 ," 1,792.79 "
2005,Alabama," 1,652.72 "," 1,318.44 "," 2,971.16 "," 1,028.50 ", 825.46 ," 1,853.96 "
2006,Alabama," 1,662.83 "," 1,390.56 "," 3,053.39 "," 1,015.10 ", 844.69 ," 1,859.79 "
2007,Alabama," 1,743.35 "," 1,453.31 "," 3,196.66 "," 1,021.41 ", 853.64 ," 1,875.05 "
2008,Alabama," 1,800.24 "," 1,485.34 "," 3,285.58 ", 988.30 , 834.07 ," 1,822.37 "
2009,Alabama," 1,734.52 "," 1,468.08 "," 3,202.60 ", 945.02 , 795.50 ," 1,740.52 "
2010,Alabama," 1,776.95 "," 1,500.51 "," 3,277.46 ", 962.47 , 802.84 ," 1,765.31 "
